2026-06-10 21:03:08 | DEBUG | C05 | KAFKA_BOOTSTRAP_SERVERS           = localhost:9092
2026-06-10 21:03:08 | DEBUG | C05 | KAFKA_BROKER_ADDRESS_FAMILY       = v6
2026-06-10 21:03:08 | DEBUG | C05 | KAFKA_TOPIC                       = streaming-05-storage-case
2026-06-10 21:03:08 | DEBUG | C05 | KAFKA_CLEAR_TOPIC_ON_START        = true
2026-06-10 21:03:08 | DEBUG | C05 | PRODUCER_MESSAGE_COUNT            = 3
2026-06-10 21:03:08 | DEBUG | C05 | PRODUCER_MESSAGE_INTERVAL_SECONDS = 2
2026-06-10 21:03:08 | DEBUG | C05 | PRODUCER_MAX_MESSAGES             = 50
2026-06-10 21:03:08 | DEBUG | C05 | PRODUCER_POLL_INTERVAL_SECONDS    = 15
2026-06-10 21:03:08 | DEBUG | C05 | KAFKA_GROUP_ID                    = streaming-consumer-group-A
2026-06-10 21:03:08 | DEBUG | C05 | KAFKA_AUTO_OFFSET_RESET           = earliest
2026-06-10 21:03:08 | DEBUG | C05 | CONSUMER_TIMEOUT_SECONDS          = 10
2026-06-10 21:03:08 | DEBUG | C05 | CONSUMER_MAX_MESSAGES             = 1000
2026-06-10 21:03:08 | DEBUG | P03 | KAFKA_BOOTSTRAP_SERVERS           = localhost:9092
2026-06-10 21:03:08 | DEBUG | P03 | KAFKA_BROKER_ADDRESS_FAMILY       = v6
2026-06-10 21:03:08 | DEBUG | P03 | KAFKA_TOPIC                       = streaming-05-storage-case
2026-06-10 21:03:08 | DEBUG | P03 | KAFKA_CLEAR_TOPIC_ON_START        = true
2026-06-10 21:03:08 | DEBUG | P03 | PRODUCER_MESSAGE_COUNT            = 3
2026-06-10 21:03:08 | DEBUG | P03 | PRODUCER_MESSAGE_INTERVAL_SECONDS = 2
2026-06-10 21:03:08 | DEBUG | P03 | PRODUCER_MAX_MESSAGES             = 50
2026-06-10 21:03:08 | DEBUG | P03 | PRODUCER_POLL_INTERVAL_SECONDS    = 15
2026-06-10 21:03:08 | DEBUG | P03 | KAFKA_GROUP_ID                    = streaming-consumer-group-A
2026-06-10 21:03:08 | DEBUG | P03 | KAFKA_AUTO_OFFSET_RESET           = earliest
2026-06-10 21:03:08 | DEBUG | P03 | CONSUMER_TIMEOUT_SECONDS          = 10
2026-06-10 21:03:08 | DEBUG | P03 | CONSUMER_MAX_MESSAGES             = 1000
